last_minute_ratio,engagement_intensity,deadline_pressure,login_consistency,early_starter,completion_rate,activity_span,high_risk,id_student
0.4,23.35,0.0,0.8366600265340756,0,1.0,2.0,0,11391
0.0,17.9375,0.0,3.24037034920393,0,1.0,7.0,0,28400
,23.416666666666668,0.0,0.0,0,0.0,0.0,1,30268
0.2,17.54471544715447,0.0,0.7071067811865476,0,1.0,2.0,0,31604
0.0,14.771428571428572,11.4,6.387487769068525,0,1.0,14.0,1,32885
0.8,17.097902097902097,2.0,4.472135954999579,0,1.0,10.0,0,38053
1.0,16.57777777777778,0.4,0.5477225575051662,0,1.0,1.0,0,45462
0.6,13.6,2.6,5.504543577809154,0,1.0,13.0,0,45642
0.8,15.524590163934427,1.4,3.1304951684997055,0,1.0,7.0,0,52130
0.0,22.239436619718308,0.0,3.2093613071762426,1,1.0,8.0,0,53025
1.0,14.655555555555555,0.0,0.4472135954999579,0,1.0,1.0,0,57506
0.8,14.433333333333334,0.4,0.894427190999916,0,1.0,2.0,0,58873
1.0,18.065573770491802,0.0,0.5477225575051661,0,1.0,1.0,0,59185
0.0,22.89189189189189,0.0,0.8944271909999159,0,1.0,2.0,0,62155
1.0,15.64,0.0,0.0,0,1.0,0.0,0,63400
0.0,13.538461538461538,0.0,24.7521042876493,1,0.8,53.0,1,65002
0.0,13.538461538461538,0.0,24.7521042876493,1,0.8,53.0,1,65002
0.2,22.891304347826086,0.0,6.985699678629192,1,1.0,17.0,0,70464
1.0,17.237037037037037,0.0,0.5477225575051661,0,1.0,1.0,0,71361
0.5,8.285714285714286,1.5,1.7320508075688772,0,0.8,3.0,1,74372
0.4,24.524590163934427,0.0,2.701851217221259,0,1.0,7.0,0,75091
0.6,7.906976744186046,0.8,3.5637059362410923,0,1.0,9.0,0,77367
0.0,11.952,5.2,2.949576240750525,0,1.0,8.0,1,91265
0.16666666666666666,13.333333333333334,0.0,8.461678320522472,1,1.0,25.0,1,94961
0.16666666666666666,13.333333333333334,0.0,8.461678320522472,1,1.0,25.0,1,94961
0.2,31.197802197802197,0.0,4.8166378315169185,1,1.0,12.0,0,98094
0.2,14.307692307692308,0.2,3.7013511046643495,0,1.0,9.0,0,100893
0.4,28.5,0.0,0.8366600265340756,0,1.0,2.0,0,101781
1.0,10.983050847457626,0.0,0.0,0,1.0,0.0,0,102806
0.8,19.82758620689655,0.0,0.894427190999916,0,1.0,2.0,0,102952
0.6,29.67080745341615,3.8,5.310367218940701,0,1.0,11.0,1,104476
0.0,14.090909090909092,7.0,7.937253933193772,0,0.6,15.0,1,106247
0.8,15.595744680851064,1.2,3.271085446759225,0,1.0,8.0,0,106577
1.0,14.257142857142858,0.0,0.894427190999916,0,1.0,2.0,0,110175
0.6666666666666666,17.227941176470587,0.0,5.196152422706632,1,0.6,9.0,0,111717
0.2,18.22051282051282,3.4,5.128352561983234,0,1.0,11.0,1,113295
1.0,15.14,0.0,0.0,0,1.0,0.0,0,114017
0.4,11.316666666666666,1.4,3.7815340802378077,0,1.0,8.0,0,114999
0.2,17.462962962962962,9.4,8.203657720797473,0,1.0,21.0,1,116541
0.0,11.306122448979592,0.0,2.1908902300206647,0,1.0,4.0,0,116692
1.0,10.518518518518519,0.0,0.0,0,1.0,0.0,0,118983
0.8,16.070866141732285,1.2,2.6832815729997477,0,1.0,6.0,0,123044
0.4,14.842696629213483,4.2,3.8340579025361627,0,1.0,7.0,1,127582
0.3333333333333333,17.163636363636364,0.0,48.59492428913401,1,1.0,128.0,1,129955
0.3333333333333333,17.163636363636364,0.0,48.59492428913401,1,1.0,128.0,1,129955
1.0,16.25,0.0,0.4472135954999579,0,1.0,1.0,0,132976
1.0,19.797101449275363,0.0,0.4472135954999579,0,1.0,1.0,0,134143
,5.214285714285714,0.0,0.0,0,0.0,0.0,1,135335
,5.214285714285714,0.0,0.0,0,0.0,0.0,1,135335
0.2857142857142857,14.186046511627907,4.428571428571429,7.091242083423347,0,1.0,19.0,1,135400
0.2857142857142857,14.186046511627907,4.428571428571429,7.091242083423347,0,1.0,19.0,1,135400
0.6,28.791666666666668,0.0,2.4899799195977463,0,1.0,5.0,0,137873
0.8,19.815217391304348,1.4,3.1304951684997055,0,1.0,7.0,0,141355
0.3333333333333333,18.4390243902439,8.5,13.852797551397336,0,1.0,37.0,1,141377
0.3333333333333333,18.4390243902439,8.5,13.852797551397336,0,1.0,37.0,1,141377
0.4,22.326315789473686,1.0,5.70087712549569,0,1.0,14.0,0,142326
0.8,28.225,0.6,0.894427190999916,0,1.0,2.0,0,144801
0.6,12.914285714285715,4.2,5.761944116355173,0,1.0,11.0,1,145130
0.6,18.65625,4.8,7.463243262818116,0,1.0,17.0,1,146188
0.2222222222222222,13.527559055118111,6.777777777777778,6.704061787039588,0,1.0,22.0,1,147756
0.2222222222222222,13.527559055118111,6.777777777777778,6.704061787039588,0,1.0,22.0,1,147756
0.0,17.22222222222222,13.0,0.0,0,0.2,0.0,1,147793
0.25,19.252525252525253,4.25,3.2841611235921855,0,1.0,9.0,1,148993
0.25,19.252525252525253,4.25,3.2841611235921855,0,1.0,9.0,1,148993
0.0,13.5,0.0,3.0495901363953815,1,1.0,7.0,0,151358
0.8,18.876543209876544,0.8,1.7888543819998317,0,1.0,4.0,0,155550
1.0,19.816831683168317,0.0,0.0,0,1.0,0.0,0,155854
0.7142857142857143,19.738805970149254,7.142857142857143,13.4465431918216,0,1.0,36.0,1,155984
0.7142857142857143,19.738805970149254,7.142857142857143,13.4465431918216,0,1.0,36.0,1,155984
0.4,16.149425287356323,9.4,9.60728889958036,0,1.0,22.0,1,157568
0.2,16.629032258064516,0.0,27.344103569142653,1,1.0,67.0,1,159954
0.2,16.629032258064516,0.0,27.344103569142653,1,1.0,67.0,1,159954
0.8,9.137254901960784,0.0,1.3416407864998738,0,1.0,3.0,0,164259
0.6,15.252525252525253,2.8,3.8340579025361627,0,1.0,7.0,0,167906
1.0,17.738095238095237,0.0,0.0,0,1.0,0.0,0,168936
0.4,14.362962962962962,7.0,7.0,0,1.0,14.0,1,172112
0.4,20.72093023255814,0.8,3.271085446759225,0,1.0,8.0,0,172797
0.0,25.373493975903614,0.0,0.0,0,1.0,0.0,0,174782
0.4,22.573604060913706,0.0,0.8366600265340756,0,1.0,2.0,0,175392
0.6,20.783505154639176,0.4,1.9493588689617927,0,1.0,4.0,0,175932
0.4,8.117647058823529,16.2,27.949955277245078,0,1.0,66.0,1,175991
0.4,12.815286624203821,0.0,2.16794833886788,0,1.0,5.0,0,180753
1.0,24.35,1.0,0.0,0,0.2,0.0,1,181316
0.8,17.025862068965516,0.6,1.3416407864998738,0,1.0,3.0,0,183096
0.8,16.620689655172413,1.0,1.7320508075688772,0,1.0,4.0,0,183947
0.6,8.92517006802721,0.0,3.209361307176242,1,1.0,8.0,0,184271
0.0,28.466666666666665,5.0,0.0,0,0.2,0.0,1,185439
0.2,19.59633027522936,8.6,6.06630035524124,0,1.0,14.0,1,186149
0.0,37.064935064935064,0.0,0.0,0,1.0,0.0,0,187100
0.8333333333333334,26.92814371257485,0.8333333333333334,1.6020819787597222,0,1.0,4.0,1,188278
0.8333333333333334,26.92814371257485,0.8333333333333334,1.6020819787597222,0,1.0,4.0,1,188278
0.4,18.345238095238095,0.0,4.449719092257398,0,1.0,12.0,0,189879
0.8,18.289772727272727,0.4,2.073644135332772,0,1.0,5.0,0,192183
1.0,32.8448275862069,1.0,0.0,0,0.2,0.0,1,195262
0.4,6.592592592592593,0.0,3.3166247903554,0,1.0,9.0,0,200860
0.0,30.170212765957448,10.333333333333334,3.214550253664318,0,0.6,6.0,1,202635
1.0,13.214285714285714,0.0,0.0,0,1.0,0.0,0,205350
0.3333333333333333,10.40625,3.6666666666666665,3.511884584284246,0,0.6,7.0,1,205719
0.8,18.228395061728396,0.0,1.2247448713915892,0,1.0,3.0,0,227499
1.0,17.463768115942027,0.0,0.5477225575051662,0,1.0,1.0,1,227517
1.0,6.135135135135135,0.0,0.0,0,1.0,0.0,0,228082
0.4,11.710526315789474,6.8,6.760177512462229,0,1.0,14.0,1,228222
0.8,12.28,0.0,0.8366600265340756,0,1.0,2.0,0,229179
1.0,9.878048780487806,0.0,0.0,0,1.0,0.0,0,229361
1.0,21.38372093023256,0.5,0.5773502691896257,0,0.8,1.0,0,231554
0.6666666666666666,9.242647058823529,1.6666666666666667,3.7771241264574122,0,1.0,8.0,1,235507
0.6666666666666666,9.242647058823529,1.6666666666666667,3.7771241264574122,0,1.0,8.0,1,235507
0.6,17.853658536585368,1.6,2.1908902300206647,0,1.0,4.0,0,236284
1.0,11.944444444444445,0.0,0.0,0,1.0,0.0,0,238007
1.0,12.346153846153847,0.0,0.0,0,1.0,0.0,0,240712
0.6,9.704545454545455,0.0,1.7320508075688772,0,1.0,4.0,0,240884
0.2,14.014814814814814,0.0,6.041522986797286,1,1.0,13.0,0,241649
0.6,15.632478632478632,1.0,5.1478150704935,0,1.0,13.0,1,241729
1.0,11.75,0.0,0.5477225575051661,0,1.0,1.0,0,242793
1.0,17.264705882352942,0.0,0.447213595499958,0,1.0,1.0,0,246834
0.4,10.202072538860104,3.8,4.324349662087931,0,1.0,10.0,1,248270
0.2,15.542168674698795,4.8,4.324349662087931,0,1.0,11.0,1,255548
0.2,10.654676258992806,4.6,8.590692637965812,0,1.0,23.0,1,256815
0.6,15.924528301886792,2.2,3.96232255123179,0,1.0,8.0,0,258392
0.6,24.32843137254902,3.2,5.630275304103699,0,1.0,13.0,1,258894
0.0,9.906976744186046,5.666666666666667,4.041451884327381,0,0.6,8.0,1,260355
0.0,9.906976744186046,5.666666666666667,4.041451884327381,0,0.6,8.0,1,260355
0.8,15.44927536231884,2.6,6.387487769068525,0,1.0,15.0,0,262011
1.0,20.22689075630252,0.0,0.0,0,1.0,0.0,0,262934
0.6,27.67241379310345,0.0,1.6431676725154984,0,1.0,3.0,1,268073
0.5,10.61111111111111,5.5,6.363961030678928,0,0.4,9.0,1,268733
0.5,10.61111111111111,5.5,6.363961030678928,0,0.4,9.0,1,268733
1.0,26.15625,0.0,0.0,0,1.0,0.0,0,271251
0.16666666666666666,24.73170731707317,0.0,50.492243628766055,1,1.0,136.0,1,277880
0.16666666666666666,24.73170731707317,0.0,50.492243628766055,1,1.0,136.0,1,277880
0.4,18.77777777777778,0.0,2.9154759474226504,0,1.0,7.0,0,279572
0.6,10.040816326530612,1.4,2.4083189157584592,0,1.0,5.0,0,281022
0.6,8.666666666666666,0.0,2.16794833886788,0,1.0,5.0,1,281250
,7.375,0.0,0.0,0,0.0,0.0,1,281589
0.4,22.54022988505747,5.8,5.310367218940701,0,1.0,10.0,1,282821
0.6,15.382352941176471,2.0,2.9154759474226504,0,1.0,7.0,0,286488
0.8,10.27659574468085,0.0,1.3416407864998738,0,1.0,3.0,0,287548
0.8,16.11111111111111,1.2,3.271085446759225,0,1.0,8.0,0,290201
1.0,19.757575757575758,0.0,0.4472135954999579,0,1.0,1.0,0,290757
0.8,22.842794759825328,0.6,3.0495901363953815,0,1.0,7.0,0,291334
,0.0,0.0,0.0,0,0.0,0.0,1,292923
0.5,6.678571428571429,4.0,4.618802153517006,0,0.8,8.0,1,293699
0.0,14.915966386554622,0.0,0.8944271909999159,0,1.0,2.0,0,294570
0.6,9.202127659574469,0.0,0.5477225575051662,0,1.0,1.0,0,294594
0.5882352941176471,18.66867469879518,0.0,2.623423896585619,0,1.0,11.0,1,295741
0.5882352941176471,18.66867469879518,0.0,2.623423896585619,0,1.0,11.0,1,295741
0.4,17.35483870967742,0.0,2.4899799195977463,0,1.0,6.0,0,296332
0.8,8.862068965517242,2.6,6.387487769068525,0,1.0,15.0,0,298696
0.2,18.49074074074074,0.0,7.092249290598858,1,1.0,18.0,0,300398
0.6666666666666666,21.375,1.3333333333333333,3.2145502536643185,0,0.6,6.0,1,302302
1.0,13.272727272727273,0.0,0.0,0,0.2,0.0,1,305152
1.0,15.023529411764706,0.0,0.0,0,1.0,0.0,0,305386
,11.333333333333334,0.0,0.0,0,0.0,0.0,1,305539
1.0,12.185185185185185,0.0,0.5477225575051661,0,1.0,1.0,0,306107
